,Symbol,5Y,1Y,4M,3M,1D
0,A,40.93,66.07,85.22,64.96,90.22
1,AAL,42.09,27.53,29.81,10.45,11.17
2,AAP,152.71,154.4,132.96,78.05,140.845
3,AAPL,130.05,174.4,322.85,244.78,321.67
4,ABBV,66.26,76.4,93.77,67.17,91.3
5,ABC,111.83,77.07,90.23,83.58,94.99
6,ABMD,59.43,259.4908,163.66,136.595,225.3
7,ABT,48.57,75.6,88.31,71.05,92.48
8,ACN,,176.4866,212.43,151.165,203.82
9,ADBE,78.59,268.75,375.4,307.51,386.87
10,ADI,67.8,96.48,117.7,88.88,114.82
11,ADM,52.43,37.77,44.73,31.72,39.125
12,ADP,84.51,159.32,179.395,111.69,147.34
13,ADS,296.05,137.9,103.27,25.38,50.57
14,ADSK,53.75,159.795,207.24,149.23,215.45
15,AEE,40.075,72.79,85.8,66.82,74.32
16,AEP,55.75,85.37,102.92,75.236,86.02
17,AES,13.51,15.71,20.815,10.84,12.719000000000001
18,AFL,61.975,51.11,52.425,26.23,37.57
19,AIG,58.365,50.71,49.15,19.71,31.43
20,AIV,37.63,49.25,54.19,30.19,38.17
21,AIZ,65.66,99.66,140.3,80.26,104.34
22,AJG,48.22,83.91,108.05,66.9,95.54
23,AKAM,74.71,75.56,99.02,85.63,103.45
24,ALB,59.9,63.76,88.0,59.79,78.7
25,ALGN,,272.49,270.03,142.62,262.47
26,ALK,64.5,57.82,66.01,24.305,36.38
27,ALL,67.21,94.82,124.65,70.76,99.61
28,ALLE,61.89,94.715,136.62,90.08,101.13
29,ALXN,161.77,112.86,102.23,81.41,116.17
30,AMAT,,38.95,67.0,40.19,55.72
31,AMCR,,,10.06,7.1,10.375
32,AMD,2.25,27.2,54.25,39.82,52.9837
33,AME,53.35,82.24,100.69,66.03,92.91
34,AMGN,155.5,166.83,221.34,189.4416,224.15
35,AMP,123.82,137.65,178.01,88.62,146.48
36,AMT,92.5,204.22,255.26,203.76,262.1
37,AMZN,426.2,1775.0,2143.44,1880.93,2459.48
38,ANET,69.24,243.35,216.23,177.88,228.285
39,ANSS,88.404,178.0,290.823,217.56,284.74
40,ANTM,166.78,273.73,297.33,200.87,295.795
41,AON,100.88,179.65,233.745,150.0,196.44
42,AOS,70.99,40.53,43.96,34.97,47.455
43,APA,58.76,25.54,27.615,4.65,12.09
44,APD,146.36,201.77,254.65,182.2875,244.79
45,APH,56.61,87.41,103.99,68.76,98.78
46,APTV,86.15,63.8,88.76,41.73,78.65
47,ARE,92.61,144.58,173.58,126.03,154.4
48,ATO,53.81,100.32,117.2,89.5,103.32
49,ATVI,25.15,42.5288,62.31,53.38,72.5087
50,AVB,165.95,200.41,225.67,141.31,160.59
51,AVGO,145.5,251.0,318.85,191.2,296.2
52,AVY,61.11,102.57,137.8322,93.57,115.315
53,AWK,52.64,111.83,137.01,105.11,128.39
54,AXP,78.95,114.75,134.53,76.0,100.0925
55,AZO,668.4,1010.01,1059.655,762.87,1131.95
56,BA,140.27,343.28,341.37,94.28,154.2101
57,BAC,16.47,26.44,34.7,20.43,25.255
58,BAX,66.025,72.42,91.9,74.04,90.25
59,BBY,34.33,62.79,90.36,53.42,78.92
60,BDX,139.79,233.22,253.6252,216.22,244.16
61,BEN,50.48,31.69,24.01,17.47,19.81
62,BF.B,93.12,49.12,71.045,52.12,65.34
63,BIIB,391.0,220.21,331.83,285.28,302.75
64,BK,42.895,42.43,45.94,29.06,38.48
65,BKNG,,1640.5352,1984.66,1176.0,1679.51
66,BKR,,,21.915,9.6,17.145
67,BLK,362.65,416.53,564.05,366.005,543.69
68,BLL,70.8,59.94,77.17,55.38,71.75
69,BMY,65.6,45.16,65.98,47.25,60.14
70,BR,53.71,123.52,122.78,91.62,122.825
71,BRK.B,143.0601,197.36,225.52,169.0,186.02
72,BSX,18.23,37.615,42.085,27.56,37.8
73,BWA,59.9699,35.0,33.66,19.53,33.2975
74,BXP,130.08,129.04,145.365,84.6,89.8
75,C,54.58,61.97,78.45,37.53,50.75
76,CAG,38.54,26.35,32.045,25.28,34.51
77,CAH,87.62,42.02,57.61,43.22,54.82
78,CARR,,,,,21.28
79,CAT,84.7,118.74,137.31,98.52,123.085
80,CB,97.01,144.76,163.495,93.1,120.55
81,CBOE,58.06,105.91,123.63,79.0,103.07
82,CBRE,,45.16,63.78,30.0,44.96
83,CCI,81.57,126.85,163.92,125.6,174.63
84,CCL,,50.78,42.72,10.3,17.0945
85,CDNS,19.62,61.99,78.3616,55.72,91.52
86,CDW,36.54,100.11,137.055,85.06,113.18
87,CE,68.2986,95.755,109.19,62.35,92.18
88,CERN,67.16,69.3467,76.19,56.5,72.5
89,CF,314.07,39.17,38.05,21.96,30.44
90,CFG,26.72,32.71,38.68,16.495,25.29
91,CHD,83.41,74.15,75.69,64.15,76.35
92,CHRW,61.46,78.01,71.96,63.75,81.73
93,CHTR,177.375,373.04,531.3,383.49,548.15
94,CI,140.23,145.0124,220.24,142.1708,200.39
95,CINF,50.32,97.4152,114.35,75.49,60.6
96,CL,66.355,69.92,76.15,64.36,72.1
97,CLX,107.04,148.35,164.38,175.29,205.44
98,CMA,48.25,69.12,62.6,27.17,38.755
99,CMCSA,58.42,40.765,45.775,33.93,40.605
100,CME,93.69,190.06,207.87,149.88,179.57
101,CMG,612.6,657.71,908.58,536.15,1058.375
102,CMI,134.63,153.57,165.0,115.27,171.13
103,CMS,34.03,55.55,68.0,53.13,59.25
104,CNC,74.42,55.57,64.9736,52.12,66.27
105,CNP,20.18,28.2,27.18,11.68,18.115
106,COF,,86.9104,102.47,45.38,71.41
107,COG,33.855,24.86,14.885,15.82,19.9
108,COO,,279.03,353.32,250.06,315.095
109,COP,63.24,57.82,58.25,25.59,44.46
110,COST,,233.05,317.22,295.0,306.59
111,COTY,24.69,12.19,11.335,3.8,4.4
112,CPB,48.11,35.27,48.27,45.76,51.38
113,CPRT,34.48,70.73,102.68,67.01,90.19
114,CRM,72.031,151.68,188.1,134.6,172.59
115,CSCO,29.05,,46.58,36.025,46.515
116,CSX,33.95,72.99,79.24,52.44,72.24
117,CTAS,85.82,221.0,297.37,167.35,254.04
118,CTL,32.9,10.31,13.85,9.437999999999999,10.12
119,CTSH,64.439,61.73,68.08,44.84,53.45
120,CTVA,,,30.58,21.31,27.4
121,CTXS,64.87,93.56,122.22,121.1,142.62
122,CVS,102.09,52.04,70.48,53.8678,66.61
123,CVX,102.59,113.82,109.91,56.75,94.81
124,CXO,118.6,95.73,77.32,39.55,59.5
125,D,70.32,74.21,86.2,68.55,86.01
126,DAL,42.92,52.25,58.96,22.5,26.35
127,DD,70.91,,52.88,30.28,51.99
128,DE,92.58,137.8001,169.28,113.33,152.39
129,DFS,58.165,74.7212,75.995,27.6,52.5
130,DG,,125.5,158.49,136.0431,192.87
131,DGX,75.0,94.675,111.71,75.77,121.825
132,DHI,26.17,42.91,61.39,29.6,55.42
133,DHR,86.05,130.75,163.02,123.13,165.52
134,DIS,110.55,130.57,140.255,90.54,119.3
135,DISCA,33.8,26.9001,30.23,19.91,22.325
136,DISCK,31.35,25.51,28.78,18.14,20.15
137,DISH,71.29,34.56,39.82,19.675,32.85
138,DLR,66.01,117.08,125.2,121.06,141.185
139,DLTR,,96.01,88.2,70.11,98.92
140,DOV,74.91,89.25,119.115,69.4,98.72
141,DOW,51.48,46.75,48.38,26.59,40.335
142,DPZ,108.44,273.53,284.01,323.14,385.15
143,DRE,19.505,29.68,37.88,27.89,35.75
144,DRI,65.05,116.15,121.73,38.51,78.56
145,DTE,79.06,123.25,133.36,81.19,109.9
146,DUK,75.69,84.46,100.0869,71.82,87.64
147,DVA,83.39,43.52,84.78,67.15,80.2
148,DVN,64.335,25.0901,23.1,6.535,12.14
149,DXC,,47.77,30.0,12.392000000000001,16.1678
150,DXCM,71.19,117.07,270.0,203.32,379.31
151,EA,62.2,90.5601,108.75,90.06,122.73
152,EBAY,61.54,35.83,37.31,27.87,46.175
153,ECL,,181.57,206.9201,147.0614,217.92
154,ED,61.63,85.24,93.75,75.8,75.04
155,EFX,99.42,119.98,162.92,111.38,157.24
156,EIX,,58.8,76.92,47.6,60.24
157,EL,86.61,162.41,214.565,149.21,201.54
158,EMN,75.93,65.88,73.855,39.1,70.9
159,EMR,60.0,60.05,72.8,45.03,61.35
160,EOG,88.18,82.15,74.99,33.22,53.915
161,EQIX,267.95,483.66,636.76,535.82,697.99
162,EQR,73.93,75.54,85.45,56.45,60.95
163,ES,49.03,71.76,92.79,72.7,85.58
164,ESS,222.41,284.865,322.67,201.13,249.24
165,ETFC,29.25,44.74,44.47,28.5,47.025
166,ETN,71.275,74.39,102.51,67.42,84.86
167,ETR,76.43,95.91,133.08,81.29,102.805
168,EVRG,36.55,57.93,71.525,51.86,63.16
169,EW,129.24,168.2123,227.0257,173.62,74.44
170,EXC,33.76,47.0,49.33,31.12,38.85
171,EXPD,45.84,68.87,73.04,56.26,77.035
172,EXPE,106.225,115.04,120.0154,45.48,84.1
173,EXR,,105.3,113.165,83.48,98.78
174,F,15.19,9.32,8.18,4.28,5.925
175,FANG,77.26,97.61,74.31,17.51,45.11
176,FAST,,,38.01,30.06,40.915
177,FB,78.66,177.5,213.14,152.93,229.1501
178,FBHS,45.4,48.255,72.41,36.39,61.35
179,FCX,19.3,9.4733,12.28,5.59,9.8
180,FDX,172.92,154.0,159.23,110.12,134.05
181,FE,35.4,40.945,51.86,34.87,42.925
182,FFIV,123.54,133.07,127.33,97.985,147.09
183,FIS,62.08,118.76,153.87,103.43,139.415
184,FISV,79.56,85.19,120.7,84.06,109.295
185,FITB,19.88,26.4,29.55,12.11,20.3341
186,FLIR,30.5,48.2,58.47,30.81,46.09
187,FLS,54.57,46.6372,46.06,20.49,27.37
188,FLT,152.08,256.4105,315.28,187.79,249.84
189,FMC,56.44,72.3,105.37,65.6668,99.81
190,FOX,,34.25,37.3,21.08,29.11
191,FOXA,33.375,34.7,37.78,21.8,29.6
192,FRC,59.8,96.06,117.015,84.24,110.19
193,FRT,133.995,129.78,124.97,71.98,88.84
194,FTI,40.905,20.8,17.35,5.51,8.015
195,FTNT,39.43,73.79,118.13,86.13,143.01
196,FTV,,75.88,77.22,44.25,63.88
197,GD,138.79,160.21,186.95,116.61,148.88
198,GE,27.07,9.29,12.91,6.48,7.05
199,GILD,112.27,62.17,67.04,73.32,74.0062
200,GIS,55.91,48.0,53.05,51.22,62.935
201,GL,,,110.12,63.53,80.645
202,GLW,20.81,28.6,28.45,19.53,23.335
203,GM,35.65,32.83,34.825,18.0,27.395
204,GOOG,529.76,1100.0,1507.34,1099.15,1431.82
205,GOOGL,543.58,1103.35,1505.55,1091.0,1435.39
206,GPC,89.9,97.7,96.2,59.31,85.29
207,GPN,103.69,150.81,202.48,124.12100000000001,182.41
208,GPS,37.55,17.08,18.07,7.51,10.125
209,GRMN,45.01,76.025,97.57,67.4,91.68
210,GS,206.19,183.0,236.65,139.44,203.26
211,GWW,239.53,259.14,304.18,220.6016,312.57
212,HAL,45.01,21.44,22.069000000000003,4.56,12.465
213,HAS,71.53,95.65,97.0561,45.64,74.09
214,HBAN,10.94,12.665,14.07,7.25,9.365
215,HBI,31.8,14.6,14.23,9.01,10.395
216,HCA,81.22,119.94,149.05,78.33,109.18
217,HD,111.25,188.66,242.1133,159.0,250.69
218,HES,,56.2,59.99,29.59,51.36
219,HFC,41.38,38.2,42.81,20.33,32.24
220,HIG,40.865,52.07,59.0,31.86,39.52
221,HII,121.14,202.75,248.73,164.3,195.73
222,HLT,29.0,88.43,112.76,58.03,82.31
223,HOG,53.1,32.61,34.02,18.04,23.48
224,HOLX,35.77,42.995,52.26,30.12,52.81
225,HON,103.52,163.645,180.01,113.6743,147.5
226,HPE,,13.59,14.57,8.78,9.875
227,HPQ,33.31,18.35,22.24,13.59,15.155
228,HRB,31.38,26.33,22.265,13.94,17.62
229,HRL,56.52,39.12,48.395,45.5,48.72
230,HSIC,141.11,64.4,70.68,47.07,61.9
231,HST,,17.9,16.825,9.75,12.415
232,HSY,92.5,129.14,158.74,117.29,136.08
233,HUM,210.33,241.19,372.79,253.84,410.37
234,HWM,,,,,13.985
235,IBM,169.03,127.1,151.62,96.17,125.8
236,ICE,235.32,81.74,94.24,68.8203,96.9
237,IDXX,134.17,245.86,283.4,181.76,312.55
